product_id,store_id,total
1,1,47.5
2,1,88.75
5,1,30
7,1,15
8,1,33
9,1,28
13,1,18
14,1,12.5
15,1,15.5
19,1,127.5
2,2,78.75
3,2,48
5,2,12.5
6,2,18
8,2,27.5
9,2,42.5
11,2,173
14,2,9.5
15,2,16.5
20,2,87.5
1,3,37.5
3,3,52.5
4,3,68
4,3,68
6,3,8.75
7,3,16
9,3,39.5
10,3,9
15,3,5.5
16,3,63
2,4,99.25
2,4,99.25
4,4,83
5,4,40
5,4,47.5
8,4,30
10,4,17.5
11,4,197.5
16,4,97.5
17,4,53
1,5,53
3,5,63
5,5,35.5
6,5,29.5
6,5,25
9,5,52
11,5,183
12,5,132.5
17,5,43
18,5,21
2,6,87.5
4,6,87.5
6,6,25.5
7,6,27.5
10,6,26
11,6,197.5
12,6,143
13,6,20
13,6,20
18,6,25.5
