store_id,product_id,quantity,qty_wasted,date
1,1,50,0.5499999999999999,2024-12-30
1,3,60,0.6599999999999999,2024-12-30
1,5,40,0.43999999999999995,2024-12-30
1,7,25,0.75,2024-12-30
1,9,50.5,0.5555,2024-12-30
1,16,100,12,2024-12-30
2,1,45.5,0.5005,2024-12-30
2,3,50.5,0.5555,2024-12-30
2,5,35,1.05,2024-12-30
2,7,20,0.6,2024-12-30
2,9,45,0.495,2024-12-30
2,16,90.5,10.86,2024-12-30
3,1,40,0.43999999999999995,2024-12-30
3,3,55,0.605,2024-12-30
3,5,30,0.8999999999999999,2024-12-30
3,7,18.5,0.5549999999999999,2024-12-30
3,9,40.5,0.44549999999999995,2024-12-30
3,16,85.5,10.26,2024-12-30
4,1,60,0.6599999999999999,2024-12-30
4,3,70,0.7699999999999999,2024-12-30
4,5,50,0.5499999999999999,2024-12-30
4,7,30.5,0.9149999999999999,2024-12-30
4,9,60.5,0.6655,2024-12-30
4,16,120,14.399999999999999,2024-12-30
5,1,55.5,0.6104999999999999,2024-12-30
5,3,65.5,0.7204999999999999,2024-12-30
5,5,45.5,0.5005,2024-12-30
5,7,27,0.8099999999999999,2024-12-30
5,9,55,0.605,2024-12-30
5,16,105,12.6,2024-12-30
6,1,60.5,0.6655,2024-12-30
6,3,70,0.7699999999999999,2024-12-30
6,5,50,0.5499999999999999,2024-12-30
6,7,30,0.8999999999999999,2024-12-30
6,9,60,0.6599999999999999,2024-12-30
6,16,120,14.399999999999999,2024-12-30
