Transaction_id,Store_id,Product_id,Cust_id,Employee_id,Amount,Date,Quantity,Payment_type
4241,5,1,3,15,150.25,2024-12-20,1,Cash
4239,3,1,1,8,150.25,2024-12-20,1,Credit Card
4219,1,1,1,1,150.25,2024-12-20,1,Credit Card
4248,6,2,10,18,1201.5,2024-12-20,15,Debit Card
4240,4,2,2,9,360.45,2024-12-20,4.5,Debit Card
4240,4,2,2,4,360.45,2024-12-20,4.5,Debit Card
4220,2,2,2,2,360.45,2024-12-20,4.5,Debit Card
4219,1,2,1,1,360.45,2024-12-20,4.5,Credit Card
4241,5,3,3,15,120,2024-12-20,1,Cash
4221,3,3,3,3,120,2024-12-20,1,Cash
4220,2,3,2,2,120,2024-12-20,1,Debit Card
4245,3,4,7,13,100,2024-12-20,1,Cash
4242,6,4,4,17,100,2024-12-20,1,PayPal
4222,4,4,4,4,300,2024-12-20,3,Credit Card
4221,3,4,3,3,100,2024-12-20,1,Cash
4246,4,5,8,9,80,2024-12-20,4,PayPal
4243,1,5,5,11,80,2024-12-20,4,Credit Card
4238,2,5,20,2,300,2024-12-20,15,Debit Card
4223,5,5,5,5,80,2024-12-20,4,PayPal
4222,4,5,4,4,20,2024-12-20,1,Credit Card
4247,5,6,9,10,900,2024-12-20,3,Credit Card
4244,2,6,6,12,900,2024-12-20,3,Debit Card
4239,3,6,1,13,1350,2024-12-20,4.5,Credit Card
4224,6,6,6,6,1200,2024-12-20,4,Cash
4223,5,6,5,5,900,2024-12-20,3,PayPal
4245,3,7,7,8,100.7,2024-12-20,1,Cash
4225,1,7,7,11,402.8,2024-12-20,4,Credit Card
4224,6,7,6,6,100.7,2024-12-20,1,Cash
4246,4,8,8,9,1000,2024-12-20,4,PayPal
4226,2,8,8,12,250,2024-12-20,1,Debit Card
4225,1,8,7,16,250,2024-12-20,1,Credit Card
4247,5,9,9,10,122.4,2024-12-20,3,Credit Card
4237,1,9,19,16,612,2024-12-20,15,PayPal
4227,3,9,9,8,40.8,2024-12-20,1,Credit Card
4226,2,9,8,7,40.8,2024-12-20,1,Debit Card
4248,6,10,10,18,7500,2024-12-20,15,Debit Card
4228,4,10,10,9,7500,2024-12-20,15,Cash
4227,3,10,9,13,500,2024-12-20,1,Credit Card
4244,2,11,6,12,600.72,2024-12-20,3,Debit Card
4236,6,11,18,18,3003.6,2024-12-20,15,Cash
4229,5,11,11,10,3003.6,2024-12-20,15,PayPal
4228,4,11,10,14,3003.6,2024-12-20,15,Cash
4230,6,12,12,17,2250,2024-12-20,15,Debit Card
4229,5,12,11,10,2250,2024-12-20,15,PayPal
4242,6,13,4,6,35.25,2024-12-20,1,PayPal
4231,1,13,13,16,528.75,2024-12-20,15,Credit Card
4230,6,13,12,17,528.75,2024-12-20,15,Debit Card
4232,2,14,14,12,603.75,2024-12-20,15,Cash
4231,1,14,13,1,603.75,2024-12-20,15,Credit Card
4243,1,15,5,11,100,2024-12-20,4,Credit Card
4233,3,15,15,13,375,2024-12-20,15,PayPal
4232,2,15,14,12,175,2024-12-20,7,Cash
4234,4,16,16,14,676.5,2024-12-20,15,Debit Card
4233,3,16,15,13,676.5,2024-12-20,15,PayPal
4235,5,17,17,15,750,2024-12-20,15,Credit Card
4234,4,17,16,14,750,2024-12-20,15,Debit Card
4236,6,18,18,18,450,2024-12-20,15,Cash
4235,5,18,17,10,450,2024-12-20,15,Credit Card
4237,1,19,19,1,1513.5,2024-12-20,15,PayPal
4238,2,20,20,2,751.8,2024-12-20,15,Debit Card
