Transaction_id,Store_id,Product_id,Cust_id,Employee_id,Amount,Date,Quantity,Payment_type
2217,5,1,3,15,187.8125,2024-12-18,1.25,Cash
2215,3,1,1,8,187.8125,2024-12-18,1.25,Credit Card
2195,1,1,1,1,187.8125,2024-12-18,1.25,Credit Card
2224,6,2,10,18,1802.25,2024-12-18,22.5,Debit Card
2216,4,2,2,9,450.5625,2024-12-18,5.625,Debit Card
2216,4,2,2,4,450.5625,2024-12-18,5.625,Debit Card
2196,2,2,2,2,450.5625,2024-12-18,5.625,Debit Card
2195,1,2,1,1,450.5625,2024-12-18,5.625,Credit Card
2217,5,3,3,15,150,2024-12-18,1.25,Cash
2197,3,3,3,3,150,2024-12-18,1.25,Cash
2196,2,3,2,2,150,2024-12-18,1.25,Debit Card
2221,3,4,7,13,125,2024-12-18,1.25,Cash
2218,6,4,4,17,125,2024-12-18,1.25,PayPal
2198,4,4,4,4,375,2024-12-18,3.75,Credit Card
2197,3,4,3,3,125,2024-12-18,1.25,Cash
2222,4,5,8,9,100,2024-12-18,5,PayPal
2219,1,5,5,11,100,2024-12-18,5,Credit Card
2214,2,5,20,2,150,2024-12-18,7.5,Debit Card
2199,5,5,5,5,100,2024-12-18,5,PayPal
2198,4,5,4,4,25,2024-12-18,1.25,Credit Card
2223,5,6,9,10,450,2024-12-18,1.5,Credit Card
2220,2,6,6,12,1125,2024-12-18,3.75,Debit Card
2215,3,6,1,13,1687.5,2024-12-18,5.625,Credit Card
2200,6,6,6,6,1500,2024-12-18,5,Cash
2199,5,6,5,5,1125,2024-12-18,3.75,PayPal
2221,3,7,7,8,125.875,2024-12-18,1.25,Cash
2201,1,7,7,11,503.5,2024-12-18,5,Credit Card
2200,6,7,6,6,125.875,2024-12-18,1.25,Cash
2222,4,8,8,9,1250,2024-12-18,5,PayPal
2202,2,8,8,12,312.5,2024-12-18,1.25,Debit Card
2201,1,8,7,16,312.5,2024-12-18,1.25,Credit Card
2223,5,9,9,10,61.2,2024-12-18,1.5,Credit Card
2213,1,9,19,16,306,2024-12-18,7.5,PayPal
2203,3,9,9,8,20.4,2024-12-18,0.5,Credit Card
2202,2,9,8,7,51,2024-12-18,1.25,Debit Card
2224,6,10,10,18,11250,2024-12-18,22.5,Debit Card
2204,4,10,10,9,11250,2024-12-18,22.5,Cash
2203,3,10,9,13,250,2024-12-18,0.5,Credit Card
2220,2,11,6,12,750.9,2024-12-18,3.75,Debit Card
2212,6,11,18,18,1501.8,2024-12-18,7.5,Cash
2205,5,11,11,10,1501.8,2024-12-18,7.5,PayPal
2204,4,11,10,14,4505.4,2024-12-18,22.5,Cash
2206,6,12,12,17,1125,2024-12-18,7.5,Debit Card
2205,5,12,11,10,1125,2024-12-18,7.5,PayPal
2218,6,13,4,6,44.0625,2024-12-18,1.25,PayPal
2207,1,13,13,16,264.375,2024-12-18,7.5,Credit Card
2206,6,13,12,17,264.375,2024-12-18,7.5,Debit Card
2208,2,14,14,12,301.875,2024-12-18,7.5,Cash
2207,1,14,13,1,301.875,2024-12-18,7.5,Credit Card
2219,1,15,5,11,125,2024-12-18,5,Credit Card
2209,3,15,15,13,187.5,2024-12-18,7.5,PayPal
2208,2,15,14,12,87.5,2024-12-18,3.5,Cash
2210,4,16,16,14,338.25,2024-12-18,7.5,Debit Card
2209,3,16,15,13,338.25,2024-12-18,7.5,PayPal
2211,5,17,17,15,375,2024-12-18,7.5,Credit Card
2210,4,17,16,14,375,2024-12-18,7.5,Debit Card
2212,6,18,18,18,225,2024-12-18,7.5,Cash
2211,5,18,17,10,225,2024-12-18,7.5,Credit Card
2213,1,19,19,1,756.75,2024-12-18,7.5,PayPal
2214,2,20,20,2,375.9,2024-12-18,7.5,Debit Card
